"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[progenitor cell type]"	"Sample Characteristic Ontology Term[progenitor cell type]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[growth condition]"	"Sample Characteristic Ontology Term[growth condition]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"	"Factor Value[individual]"	"Factor Value Ontology Term[individual]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"	"Factor Value[cell line]"	"Factor Value Ontology Term[cell line]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2967132"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H3_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967133"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H4_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967134"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H5_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967135"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H6_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967136"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H6_hOrg33d_c2"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967137"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H7_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967138"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H8_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967139"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 1"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg1_H9_hOrg33d_c1"		"33 day"		"iPSC organoid 1"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967140"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A10_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967141"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A11_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967142"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A1_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967143"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A2_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967144"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A3_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967145"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A4_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967146"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A5_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967147"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A6_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967148"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A7_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967149"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A8_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967150"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_A9_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967151"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B10_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967152"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B11_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967153"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B12_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967154"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B1_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967155"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B2_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967156"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B3_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967157"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B4_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967158"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B5_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967159"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B6_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967160"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B7_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967161"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B8_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967162"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_B9_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967163"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_C10_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967164"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_C11_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967165"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 2"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg2_C12_hOrg35d"		"35 day"		"iPSC organoid 2"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
